Id,Source,Target,Type,Label,Weight
287,157,239,Directed,spouse,1
288,235,158,Directed,spouse,1
289,158,235,Directed,spouse,1
290,181,159,Directed,spouse,1
291,159,181,Directed,spouse,1
292,232,160,Directed,spouse,1
293,160,232,Directed,spouse,1
294,358,162,Directed,spouse,1
295,162,358,Directed,spouse,1
296,233,163,Directed,spouse,1
297,163,233,Directed,spouse,1
298,205,166,Directed,spouse,1
299,166,205,Directed,spouse,1
300,359,168,Directed,spouse,1
301,168,359,Directed,spouse,1
302,248,169,Directed,spouse,1
303,169,248,Directed,spouse,1
304,266,170,Directed,spouse,1
305,170,266,Directed,spouse,1
306,360,171,Directed,spouse,1
307,171,360,Directed,spouse,1
308,301,172,Directed,spouse,1
309,172,301,Directed,spouse,1
310,175,173,Directed,spouse,1
311,173,175,Directed,spouse,1
312,361,176,Directed,spouse,1
313,176,361,Directed,spouse,1
314,1,178,Directed,spouse,1
315,178,1,Directed,spouse,1
316,362,180,Directed,spouse,1
317,180,362,Directed,spouse,1
318,285,182,Directed,spouse,1
319,182,285,Directed,spouse,1
320,301,183,Directed,spouse,1
321,183,301,Directed,spouse,1
322,290,185,Directed,spouse,1
323,185,290,Directed,spouse,1
324,197,186,Directed,spouse,1
325,186,197,Directed,spouse,1
326,236,189,Directed,spouse,1
327,189,236,Directed,spouse,1
328,363,191,Directed,spouse,1
329,191,363,Directed,spouse,1
330,203,192,Directed,spouse,1
331,192,203,Directed,spouse,1
332,201,194,Directed,spouse,1
333,194,201,Directed,spouse,1
334,204,195,Directed,spouse,1
335,195,204,Directed,spouse,1
336,364,198,Directed,spouse,1
337,198,364,Directed,spouse,1
338,230,200,Directed,spouse,1
339,200,230,Directed,spouse,1
340,365,202,Directed,spouse,1
341,202,365,Directed,spouse,1
342,366,204,Directed,spouse,1
343,204,366,Directed,spouse,1
344,221,206,Directed,spouse,1
345,206,221,Directed,spouse,1
346,275,207,Directed,spouse,1
347,207,275,Directed,spouse,1
348,307,208,Directed,spouse,1
349,208,307,Directed,spouse,1
350,367,209,Directed,spouse,1
351,209,367,Directed,spouse,1
352,368,210,Directed,spouse,1
353,210,368,Directed,spouse,1
354,369,212,Directed,spouse,1
355,212,369,Directed,spouse,1
356,257,213,Directed,spouse,1
357,213,257,Directed,spouse,1
358,334,214,Directed,spouse,1
359,214,334,Directed,spouse,1
360,340,215,Directed,father,1
361,370,216,Directed,spouse,1
362,216,370,Directed,spouse,1
363,277,218,Directed,spouse,1
364,218,277,Directed,spouse,1
365,371,219,Directed,spouse,1
366,219,371,Directed,spouse,1
367,205,220,Directed,spouse,1
368,220,205,Directed,spouse,1
369,219,222,Directed,spouse,1
370,222,219,Directed,spouse,1
371,240,223,Directed,spouse,1
372,223,240,Directed,spouse,1
373,250,224,Directed,spouse,1
374,224,250,Directed,spouse,1
375,260,226,Directed,spouse,1
376,226,260,Directed,spouse,1
377,228,227,Directed,spouse,1
378,227,228,Directed,spouse,1
379,372,231,Directed,spouse,1
380,231,372,Directed,spouse,1
381,55,234,Directed,spouse,1
382,234,55,Directed,spouse,1
383,373,237,Directed,mother,1
384,374,237,Directed,father,1
385,58,237,Directed,heir,1
386,243,238,Directed,spouse,1
387,238,243,Directed,spouse,1
388,14,243,Directed,father,1
389,375,243,Directed,heir,1
390,329,244,Directed,mother,1
391,32,244,Directed,father,1
392,283,245,Directed,spouse,1
393,245,283,Directed,spouse,1
394,17,246,Directed,spouse,1
395,246,17,Directed,spouse,1
396,376,247,Directed,spouse,1
397,247,376,Directed,spouse,1
398,298,249,Directed,spouse,1
399,249,298,Directed,spouse,1
400,377,251,Directed,spouse,1
401,251,377,Directed,spouse,1
402,289,252,Directed,spouse,1
403,252,289,Directed,spouse,1
404,297,253,Directed,spouse,1
405,253,297,Directed,spouse,1
406,378,254,Directed,spouse,1
407,254,378,Directed,spouse,1
408,301,255,Directed,spouse,1
409,255,301,Directed,spouse,1
410,379,261,Directed,spouse,1
411,261,379,Directed,spouse,1
412,380,262,Directed,spouse,1
413,262,380,Directed,spouse,1
414,381,263,Directed,spouse,1
415,263,381,Directed,spouse,1
416,382,265,Directed,spouse,1
417,265,382,Directed,spouse,1
418,263,268,Directed,spouse,1
419,268,263,Directed,spouse,1
420,383,270,Directed,spouse,1
421,270,383,Directed,spouse,1
422,282,272,Directed,spouse,1
423,272,282,Directed,spouse,1
424,36,273,Directed,spouse,1
425,273,36,Directed,spouse,1
426,384,276,Directed,spouse,1
427,276,384,Directed,spouse,1
428,385,278,Directed,spouse,1
429,278,385,Directed,spouse,1
430,29,279,Directed,spouse,1
431,279,29,Directed,spouse,1
432,268,280,Directed,spouse,1
433,280,268,Directed,spouse,1
434,282,281,Directed,spouse,1
435,281,282,Directed,spouse,1
436,386,283,Directed,spouse,1
437,283,386,Directed,spouse,1
438,26,284,Directed,spouse,1
439,284,26,Directed,spouse,1
440,291,287,Directed,spouse,1
441,287,291,Directed,spouse,1
442,387,292,Directed,spouse,1
443,292,387,Directed,spouse,1
444,342,293,Directed,mother,1
445,34,293,Directed,father,1
446,1,295,Directed,spouse,1
447,295,1,Directed,spouse,1
448,270,299,Directed,spouse,1
449,299,270,Directed,spouse,1
450,388,302,Directed,spouse,1
451,302,388,Directed,spouse,1
452,248,303,Directed,spouse,1
453,303,248,Directed,spouse,1
454,389,304,Directed,spouse,1
455,304,389,Directed,spouse,1
